,inspection_id,dba_name,license_,facility_type,zip,inspection_date,latitude,longitude,year,category
178325,1321341,mobil gas station,1980885.0,grocery store,60621.0,2013-01-15,41.779849170802734,-87.63213748767913,2013,Convenience Store/Gas Station
183441,1321241,snappy convenience center  4,43704.0,grocery service gas station,60647.0,2013-01-09,41.91360573157923,-87.68745419657513,2013,Convenience Store/Gas Station
185018,1229587,norma s mini store,0.0,grocery store,60608.0,2012-06-13,41.85386830200632,-87.67821915483191,2013,Grocery Store
3247,1228358,rubi grocery,2054919.0,grocery store,60609.0,2013-12-09,41.80123959131233,-87.66240487723034,2013,Grocery Store
3251,1375876,morrocco s,1884903.0,grocery store,60619.0,2013-12-05,41.73141065034323,-87.60484189391822,2013,Grocery Store
3252,1391301,munchies,1120952.0,grocery store,60610.0,2013-12-05,41.90046290693005,-87.63746817234774,2013,Grocery Store
3261,1319936,saja foods,2293220.0,grocery store,60637.0,2013-11-29,41.78917398251256,-87.61989129248225,2013,Grocery Store
3266,1072669,pete s produce,1448266.0,grocery store,60620.0,2013-11-21,41.73574485136591,-87.65871770565929,2013,Grocery Store
3268,1389256,daveed liquor   food,35421.0,grocery store,60618.0,2013-11-21,41.96129692086515,-87.70818823321862,2013,Grocery Store
3269,920430,79th st mini mart,2109973.0,grocery store,60619.0,2013-11-21,41.75107097352686,-87.61122848785296,2013,Grocery Store
3287,1375225,zee dollar and food,2014197.0,grocery store,60619.0,2013-11-06,41.75829331503205,-87.61535410873262,2013,Grocery Store
3331,1329560,7 eleven  27421j,2278540.0,grocery store,60634.0,2013-10-10,41.953292847298,-87.76706570775266,2013,Grocery Store
3344,1115051,the chase shop,1622073.0,grocery store,60603.0,2013-10-01,41.88143431313232,-87.63072037749313,2013,Grocery Store
3348,1369370,hudson,2289495.0,grocery store,60666.0,2013-10-01,42.008536400868735,-87.91442843927047,2013,Grocery Store
3350,1343488,the roseland market,1382093.0,grocery store,60624.0,2013-10-01,41.8808046152,-87.71137549591673,2013,Grocery Store
3352,1296609,brandon s food mart,1981133.0,grocery store,60617.0,2013-09-27,41.74481111111927,-87.54654088109194,2013,Grocery Store
3356,1343477,rio grande fruit market  inc ,1042285.0,grocery store,60647.0,2013-09-27,41.909910705082176,-87.71438551021203,2013,Grocery Store
