,inspection_id,dba_name,license_,facility_type,inspection_date,latitude,longitude,year,category
3319,1361113,RUSTIK,1846981.0,restaurant,2013-09-20,41.92706664376851,-87.69732984409596,2013,Restaurant
3320,1361082,HAROLD'S CHICKEN SHACK,20687.0,restaurant,2013-09-19,41.77954599567365,-87.65119025579276,2013,Restaurant
3322,1365262,"SODEXHO AMERICA, LLC",1678900.0,restaurant,2013-09-16,41.895692401410514,-87.62014286048188,2013,Restaurant
3323,1360956,DREAM DINNERS,1845013.0,restaurant,2013-09-13,41.93964099167092,-87.68180523903925,2013,Restaurant
3324,1324676,"Arby's /SBA,LTD",1892053.0,restaurant,2013-09-13,41.8820882268538,-87.63368502504036,2013,Restaurant
3325,1228168,HAN 202,1959609.0,restaurant,2013-09-13,41.83799360033159,-87.64164283333236,2013,Restaurant
3326,1146520,BISMARCK ENTERPRISES/UNITED,37979.0,restaurant,2013-09-11,41.88124145680335,-87.67428253395332,2013,Restaurant
3327,1329505,JAVA N MUG,1883753.0,restaurant,2013-09-10,41.98293736783729,-87.71072602471929,2013,Restaurant
3328,1139120,ED DEBEVIC'S,1596021.0,restaurant,2013-09-10,41.89365847761819,-87.63427038140614,2013,Restaurant
3330,1360808,HOMEPLATE DEUCES & THE DIAMOND CLUB,2079020.0,restaurant,2013-09-10,41.94599352274732,-87.65537113546681,2013,Restaurant
3334,1151610,JR'S BURRITOS SHACK,2120267.0,restaurant,2013-09-09,41.74128282135388,-87.71382961609703,2013,Restaurant
3335,1151609,MAGIC SNACK SHOP,1616496.0,restaurant,2013-09-09,41.6913989363127,-87.70472545403344,2013,Restaurant
3336,1360744,CORNELIA'S RESTAURANT,21439.0,restaurant,2013-09-06,41.94555069309664,-87.6490499606871,2013,Restaurant
3337,920384,SUNLIGHT CAFE,1594913.0,restaurant,2013-09-06,41.85272678552472,-87.63311319020137,2013,Restaurant
3338,1324657,CHICAGO EATS AND TREATS,2089432.0,restaurant,2013-09-05,41.87856015362371,-87.63652387205532,2013,Restaurant
3339,1199059,BATTER & BERRIES LLC,2146584.0,restaurant,2013-09-05,41.93166320927571,-87.65766949014623,2013,Restaurant
3340,1360700,EGGSPERIENCE,2283437.0,restaurant,2013-09-05,41.880858755750936,-87.64747880040215,2013,Restaurant
3342,1235959,NORTH BUENA MARKET,2271171.0,restaurant,2013-09-05,41.95848356330247,-87.65321448916944,2013,Restaurant
3343,1199061,ZELLA,30543.0,restaurant,2013-09-04,41.91732375905186,-87.65824745106991,2013,Restaurant
3344,1345511,"BLOCK 37 CTA DONUTS INC.,",2284168.0,restaurant,2013-09-04,41.88342263701488,-87.62802165207536,2013,Restaurant
3345,1360664,WENDY'S #000981,6780.0,restaurant,2013-09-04,41.979892458487015,-87.80712701444871,2013,Restaurant
3346,1360659,MARINERO BAR AND GRILL,1797882.0,restaurant,2013-09-03,41.954068125180704,-87.70147782880944,2013,Restaurant
3347,1360645,CHURCH'S CHICKEN # 970,1273267.0,restaurant,2013-09-03,41.8806769908738,-87.72581612691941,2013,Restaurant
3348,1360635,SOM MASHA ALLAH  GRILL,2179374.0,restaurant,2013-09-03,41.996149190826735,-87.67583275149421,2013,Restaurant
3351,1305383,MIDWAY LOUNGE,2086.0,restaurant,2013-08-29,41.77869630305849,-87.728713965789,2013,Restaurant
3352,1228129,CHINA WOK,2013324.0,restaurant,2013-08-29,41.83050041795062,-87.67522140471041,2013,Restaurant
3353,1305381,PACO'S HOTDOGS AND ICE CREAM,2133685.0,restaurant,2013-08-29,41.79959745968949,-87.70358495558017,2013,Restaurant
3354,1174573,DA LOBSTA,2283644.0,restaurant,2013-08-29,41.884187507127805,-87.64111966683218,2013,Restaurant
3356,1360983,SOCCA,13009.0,restaurant,2013-08-27,41.94186145960563,-87.65204754270617,2013,Restaurant
3357,1296546,"NEW CHINA EXPRESS, INC",49671.0,restaurant,2013-08-27,41.765990001140594,-87.57378733665412,2013,Restaurant
3358,1199037,CLYBAR,1491261.0,restaurant,2013-08-23,41.925671303974354,-87.66984156875924,2013,Restaurant
3359,1092574,GALWAY ARMS,49336.0,restaurant,2013-08-23,41.92660482392973,-87.64125865836216,2013,Restaurant
3361,1139095,BLACKFINN AMERIPUB,2196436.0,restaurant,2013-08-23,41.8891091281777,-87.6305406286297,2013,Restaurant
3362,1305377,GORDITAS SALAZAR,2083818.0,restaurant,2013-08-22,41.81986164387176,-87.7042861154633,2013,Restaurant
3363,1151565,FIESTA DEL SOL RESTAURANTE,2049066.0,restaurant,2013-08-22,41.850428003029705,-87.67115535322796,2013,Restaurant
3364,1072507,79TH STREET BARBEQUE,2119891.0,restaurant,2013-08-22,41.75026159818169,-87.66234576167015,2013,Restaurant
3366,1360401,JAFFA BAKERY,1820841.0,restaurant,2013-08-20,41.88199433820508,-87.6397586848809,2013,Restaurant
3367,1360382,HUTCH,2270100.0,restaurant,2013-08-20,41.94186145960563,-87.65204754270617,2013,Restaurant
3368,1228107,EVERGREEN RESTAURANT,2185077.0,restaurant,2013-08-19,41.848804836394464,-87.63177773474666,2013,Restaurant
